dataset,script_id,model,prompt_type,language,category,snippet,metric,n,mean,median,std,min,max,skewness,kurtosis_excess,shapiro_w,shapiro_p_value,normality_rejected_0_05,note
translation,script_121,starcoder,optimized,r,data_manipulation_preprocessing,01_impute_encode_scale,elapsed_seconds,30,1.232241534433333,1.231473673,0.004157522418107325,1.226805911,1.245094467,1.3563258673071001,1.9962541399620912,0.8865611364084409,0.004002702308670921,True,
translation,script_121,starcoder,optimized,r,data_manipulation_preprocessing,01_impute_encode_scale,energy_joules,30,21.646,21.69,0.2643612992700033,21.11,22.05,-0.28588843165042027,-0.7709367906435052,0.9632301551924887,0.3735807901808335,False,
translation,script_125,starcoder,optimized,r,machine_learning_workflows,01_pipeline_cv_gridsearch_classification,avg_power_watts,30,17.770111672366667,17.7317718575,0.19675171008506803,17.333383135,18.110967491,0.16479910544283985,-0.4907145422584729,0.9571677129998903,0.26175421473835553,False,
translation,script_125,starcoder,optimized,r,machine_learning_workflows,01_pipeline_cv_gridsearch_classification,elapsed_seconds,30,2.4072641222999995,2.4040363405000003,0.027491335917580483,2.366939864,2.456396599,0.3669756528730252,-0.9263368434826593,0.9414938579165688,0.09979130964153683,False,
translation,script_125,starcoder,optimized,r,machine_learning_workflows,01_pipeline_cv_gridsearch_classification,energy_joules,30,42.77533333333334,42.865,0.5328824243310326,41.7,44.16,0.2636438823744653,0.5306172278957959,0.9815019152914822,0.8639321728737162,False,
translation,script_13,gemini,base,r,machine_learning_workflows,01_pipeline_cv_gridsearch_classification,avg_power_watts,30,18.234898364899998,18.188357093500002,0.2858914257726368,17.719803229,18.705469228,-0.009987878992967021,-1.0407818579178438,0.9563109617615994,0.24860131629576881,False,
translation,script_13,gemini,base,r,machine_learning_workflows,01_pipeline_cv_gridsearch_classification,elapsed_seconds,30,1.7747973962333334,1.7568477825,0.1219703454851229,1.521442302,2.017114285,0.18449191777227167,-0.41206397904111913,0.9747594786420722,0.6756418649441869,False,
translation,script_13,gemini,base,r,machine_learning_workflows,01_pipeline_cv_gridsearch_classification,energy_joules,30,32.352333333333334,32.455,2.113636649251113,27.83,36.97,0.1780808648524806,-0.2662352462649231,0.9824158197393796,0.8854970657269118,False,
translation,script_14,gemini,base,r,machine_learning_workflows,02_regression_workflow_feature_importance,avg_power_watts,30,17.108729149033334,17.0932806235,0.3056833943625742,16.331236207,17.629755634,-0.400991680075172,0.3354916106362076,0.9591072201559628,0.2938639591648247,False,
translation,script_14,gemini,base,r,machine_learning_workflows,02_regression_workflow_feature_importance,elapsed_seconds,30,2.7854662318666668,2.788038202,0.010832493346032916,2.764076883,2.806102494,-0.5989963769939428,-0.21722316972163913,0.9239476247573375,0.03399422711796918,True,
translation,script_14,gemini,base,r,machine_learning_workflows,02_regression_workflow_feature_importance,energy_joules,30,47.654333333333334,47.6,0.7841432105888843,45.64,48.92,-0.7050024997858941,0.494978436105165,0.950728131656351,0.17681976385491668,False,
translation,script_15,gemini,base,r,statistical_modelling_analysis,01_linear_regression_inference,avg_power_watts,30,16.6684868328,16.535245684,0.4526908314649945,15.866725684,17.57829791,0.5716362953951561,-0.41665486271792096,0.9374052330820171,0.07745282603457862,False,
translation,script_15,gemini,base,r,statistical_modelling_analysis,01_linear_regression_inference,elapsed_seconds,30,0.08873770713333333,0.08834070050000001,0.0021797113208125193,0.086407064,0.096858925,3.0678723315296867,9.605712000576231,0.5839704293805437,4.6776714626185184e-08,True,
translation,script_15,gemini,base,r,statistical_modelling_analysis,01_linear_regression_inference,energy_joules,30,1.4786666666666666,1.47,0.03848271742262867,1.43,1.57,0.7973021261058086,-0.2510799580308811,0.9149908509486013,0.019925228713891248,True,
translation,script_16,gemini,base,r,statistical_modelling_analysis,02_logistic_regression_odds_ratios,avg_power_watts,30,16.876062698200002,16.622994672,0.9920658034816496,15.910527678,20.812667607,2.746092774216866,8.910720469538333,0.6990493850280362,1.5113351972496824e-06,True,
translation,script_16,gemini,base,r,statistical_modelling_analysis,02_logistic_regression_odds_ratios,elapsed_seconds,30,0.09107971443333335,0.0905027685,0.002069514075497045,0.088719117,0.098048288,2.325867572032258,4.969853246764978,0.6421524603834435,2.4869047890116065e-07,True,
translation,script_16,gemini,base,r,statistical_modelling_analysis,02_logistic_regression_odds_ratios,energy_joules,30,1.5376666666666665,1.51,0.10890309939331969,1.43,1.98,3.0033978532244836,10.237855020097054,0.6508348238815942,3.23665651009066e-07,True,
translation,script_17,gemini,optimized,python,data_manipulation_preprocessing,01_impute_encode_scale,avg_power_watts,30,16.471437898266668,16.4977420775,0.21694755803298799,16.141921352,17.043476557,0.479055533477442,0.32216580391335636,0.9545685870443598,0.22369934500951036,False,
