dataset,script_id,model,prompt_type,language,category,snippet,metric,n,mean,median,std,min,max,skewness,kurtosis_excess,shapiro_w,shapiro_p_value,normality_rejected_0_05,note
original,script_2,original,base,python,data_manipulation_preprocessing,02_merge_aggregate_reshape,avg_power_watts,30,16.076345269300003,16.0858647905,0.21574361291784144,15.630870799,16.467445542,-0.14046115014529956,-0.7661800843074742,0.9766784123921368,0.732055993453872,False,
original,script_2,original,base,python,data_manipulation_preprocessing,02_merge_aggregate_reshape,elapsed_seconds,30,0.6203006892333333,0.619173945,0.0040829815539008335,0.615251618,0.630571999,0.866599097478283,-0.023977101356857045,0.9144908022098959,0.019347160464229674,True,
original,script_2,original,base,python,data_manipulation_preprocessing,02_merge_aggregate_reshape,energy_joules,30,9.971933694333336,9.9610617495,0.1323342992303056,9.736418558,10.383910054,0.8820992193751374,1.8158915497488275,0.9484593291079304,0.15371319951502616,False,
original,script_3,original,base,python,data_visualization,01_scatter_trend_grouped,avg_power_watts,30,16.301168091766666,16.3029950235,0.2607309626914066,15.523946801,16.939732844,-0.523494255649224,2.3148951292303472,0.9563122229033586,0.24862022768200856,False,
original,script_3,original,base,python,data_visualization,01_scatter_trend_grouped,elapsed_seconds,30,0.9117480123333335,0.9092514925,0.007553336505489368,0.901135002,0.935600825,1.1184036459540088,1.7714215031038858,0.9029536015108068,0.00992625813916501,True,
original,script_3,original,base,python,data_visualization,01_scatter_trend_grouped,energy_joules,30,14.861679919766665,14.839879339,0.21238144097347697,14.50391481,15.353768957,0.4953902240197619,0.023847184486488704,0.9708162853958857,0.5617456880382168,False,
original,script_4,original,base,python,data_visualization,02_distribution_boxplot,avg_power_watts,30,16.50072567333333,16.5301748455,0.19159689386451906,16.058139854,16.824715,-0.17671371730538085,-0.4469571173704825,0.9706223335327747,0.5563416336348863,False,
original,script_4,original,base,python,data_visualization,02_distribution_boxplot,elapsed_seconds,30,0.8475414639000001,0.845047822,0.006042127467422838,0.839759515,0.862375701,0.8666218620175432,-0.07291347040086071,0.9139334658066831,0.018723533333248058,True,
original,script_4,original,base,python,data_visualization,02_distribution_boxplot,energy_joules,30,13.984664556066669,13.991418737,0.1585888971733177,13.625093496,14.330621811,-0.13634444423236425,-0.18496690831578055,0.9907343432115004,0.9942589990609235,False,
original,script_5,original,base,python,machine_learning_workflows,01_pipeline_cv_gridsearch_classification,avg_power_watts,30,32.89970124763333,36.9420801825,8.450613235543486,17.293349399,39.373196693,-1.2278442932457232,-0.3761238483759177,0.6601078654673949,4.307860141875663e-07,True,
