model,prompt_type,language,category,snippet,matched_original_model,candidate_runs,original_runs,elapsed_seconds_u_stat,elapsed_seconds_p_value,elapsed_seconds_candidate_mean,elapsed_seconds_original_mean,elapsed_seconds_candidate_median,elapsed_seconds_original_median,elapsed_seconds_mean_pct_diff_vs_original,elapsed_seconds_median_pct_diff_vs_original,elapsed_seconds_rank_biserial,elapsed_seconds_cliffs_delta,elapsed_seconds_cliffs_delta_abs,elapsed_seconds_cliffs_delta_magnitude,elapsed_seconds_cliffs_delta_direction,energy_joules_u_stat,energy_joules_p_value,energy_joules_candidate_mean,energy_joules_original_mean,energy_joules_candidate_median,energy_joules_original_median,energy_joules_mean_pct_diff_vs_original,energy_joules_median_pct_diff_vs_original,energy_joules_rank_biserial,energy_joules_cliffs_delta,energy_joules_cliffs_delta_abs,energy_joules_cliffs_delta_magnitude,energy_joules_cliffs_delta_direction,avg_power_watts_u_stat,avg_power_watts_p_value,avg_power_watts_candidate_mean,avg_power_watts_original_mean,avg_power_watts_candidate_median,avg_power_watts_original_median,avg_power_watts_mean_pct_diff_vs_original,avg_power_watts_median_pct_diff_vs_original,avg_power_watts_rank_biserial,avg_power_watts_cliffs_delta,avg_power_watts_cliffs_delta_abs,avg_power_watts_cliffs_delta_magnitude,avg_power_watts_cliffs_delta_direction,elapsed_seconds_p_value_fdr_bh,energy_joules_p_value_fdr_bh,avg_power_watts_p_value_fdr_bh
starcoder,base,python,data_manipulation_preprocessing,01_impute_encode_scale,original,30,30,220.0,0.0006912516925845255,0.5867562175666666,0.5877041638,0.5851718885,0.587691752,-0.1612964977488195,-0.42877299050472245,-0.5111111111111111,-0.5111111111111111,0.5111111111111111,large,candidate_lower_elapsed_seconds,348.0,0.13308167992567385,9.698333333333332,9.691666666666666,9.64,9.7,0.06878761822871125,-0.6185567010309148,-0.22666666666666668,-0.22666666666666666,0.22666666666666666,small,candidate_lower_energy_joules,439.0,0.8766349003139949,16.525503974933336,16.490929554299996,16.490226579500003,16.468379943000002,0.20965719682142148,0.13265807915299674,-0.02444444444444449,-0.024444444444444446,0.024444444444444446,negligible,candidate_lower_avg_power_watts,0.0007437518211352488,0.14139928492102846,0.9314245815836196
starcoder,base,python,data_manipulation_preprocessing,02_merge_aggregate_reshape,original,30,30,103.0,3.0102616021326525e-07,0.6156576136333333,0.6203006892333333,0.6160279645,0.619173945,-0.7485201420199364,-0.5080931659680922,-0.7711111111111111,-0.7711111111111111,0.7711111111111111,large,candidate_lower_elapsed_seconds,276.5,0.01049350583520152,10.080999999999998,10.174666666666669,10.055,10.165,-0.9205870790198303,-1.082144613871121,-0.38555555555555554,-0.38555555555555554,0.38555555555555554,medium,candidate_lower_energy_joules,415.0,0.6100075520376812,16.374192274633334,16.403175427300006,16.311123170000002,16.4126949485,-0.17669232884283723,-0.6188610634555263,-0.07777777777777772,-0.07777777777777778,0.07777777777777778,negligible,candidate_lower_avg_power_watts,3.4577329213685875e-07,0.012388166611001793,0.7102827660712726
starcoder,base,python,data_visualization,01_scatter_trend_grouped,original,30,30,0.0,3.0198593591621564e-11,0.8249850521333333,0.9117480123333335,0.8256092964999999,0.9092514925,-9.516111801325188,-9.19901662960428,-1.0,-1.0,1.0,large,candidate_lower_elapsed_seconds,0.0,3.004749140670014e-11,13.69833333333333,15.159666666666663,13.71,15.14,-9.639613887728398,-9.445178335535005,-1.0,-1.0,1.0,large,candidate_lower_energy_joules,422.0,0.6843225867624494,16.604556382466665,16.627998249766666,16.605921445,16.6298251815,-0.14097828823339997,-0.14374015504739862,-0.06222222222222218,-0.06222222222222222,0.06222222222222222,negligible,candidate_lower_avg_power_watts,4.0744134210917984e-11,4.664130506757962e-11,0.7860462145244351
starcoder,base,python,data_visualization,02_distribution_boxplot,original,30,30,0.0,3.0198593591621564e-11,0.4195505026,0.8475414639000001,0.4196263255,0.845047822,-50.49793780360674,-50.3428901210753,-1.0,-1.0,1.0,large,candidate_lower_elapsed_seconds,0.0,2.978472128053607e-11,6.846000000000001,14.261666666666665,6.845,14.27,-51.99719527871917,-52.03223545900491,-1.0,-1.0,1.0,large,candidate_lower_energy_joules,35.0,8.890991323298936e-10,16.3173579394,16.827555831333335,16.308368867,16.8570050035,-3.031919174995888,-3.2546477644521556,-0.9222222222222223,-0.9222222222222223,0.9222222222222223,large,candidate_lower_avg_power_watts,4.0744134210917984e-11,4.664130506757962e-11,2.7990157869644798e-09
starcoder,base,python,statistical_modelling_analysis,01_linear_regression_inference,original,30,30,0.0,3.0198593591621564e-11,0.6284200992666665,0.7242042895333333,0.628426884,0.7233002425,-13.226128545632983,-13.116732571813012,-1.0,-1.0,1.0,large,candidate_lower_elapsed_seconds,0.0,2.939449525979145e-11,10.419333333333334,12.029666666666667,10.405000000000001,12.0,-13.38635041148272,-13.291666666666657,-1.0,-1.0,1.0,large,candidate_lower_energy_joules,434.0,0.8187456534765797,16.58025218406667,16.611134751399998,16.559846200499997,16.546834465499998,-0.1859148564833961,0.07863579603173369,-0.03555555555555556,-0.035555555555555556,0.035555555555555556,negligible,candidate_lower_avg_power_watts,4.0744134210917984e-11,4.664130506757962e-11,0.8922228275065291
starcoder,base,python,statistical_modelling_analysis,02_logistic_regression_odds_ratios,original,30,30,0.0,3.0198593591621564e-11,0.6324229827333334,0.7562265260666666,0.6331621235,0.7555736799999999,-16.37122463519867,-16.201140899984754,-1.0,-1.0,1.0,large,candidate_lower_elapsed_seconds,0.0,2.972868687500072e-11,10.453333333333335,12.538666666666666,10.46,12.52,-16.63122075712461,-16.453674121405744,-1.0,-1.0,1.0,large,candidate_lower_energy_joules,386.0,0.3478277829758114,16.529139207733333,16.580972812166667,16.53274394,16.5601725545,-0.3126089465347881,-0.1656300042148198,-0.14222222222222225,-0.14222222222222222,0.14222222222222222,negligible,candidate_lower_avg_power_watts,4.0744134210917984e-11,4.664130506757962e-11,0.4284835007673039
starcoder,base,r,data_manipulation_preprocessing,01_impute_encode_scale,original,30,30,900.0,3.0198593591621564e-11,1.2204219951,0.09235858213333334,1.219032843,0.092040134,1221.3953342615628,1224.4579185423613,1.0,1.0,1.0,large,candidate_higher_elapsed_seconds,900.0,2.8808827930294298e-11,21.527333333333328,1.375,21.54,1.37,1465.6242424242419,1472.2627737226276,1.0,1.0,1.0,large,candidate_higher_energy_joules,900.0,3.0198593591621564e-11,17.6393978208,14.912474712400002,17.64969849,14.9225426705,18.286187644848177,18.27540975903017,1.0,1.0,1.0,large,candidate_higher_avg_power_watts,4.0744134210917984e-11,4.664130506757962e-11,1.6043002845548956e-10
starcoder,optimized,python,statistical_modelling_analysis,02_logistic_regression_odds_ratios,original,30,30,0.0,3.0198593591621564e-11,0.6323938469,0.7562265260666666,0.631468366,0.7555736799999999,-16.375077426965305,-16.42530930934491,-1.0,-1.0,1.0,large,candidate_lower_elapsed_seconds,0.0,2.961690648819951e-11,10.279666666666666,12.538666666666666,10.3,12.52,-18.016269672479797,-17.731629392971236,-1.0,-1.0,1.0,large,candidate_lower_energy_joules,112.0,6.045949421012785e-07,16.255533274033333,16.580972812166667,16.240934952,16.5601725545,-1.962728856864996,-1.9277432131179755,-0.7511111111111111,-0.7511111111111111,0.7511111111111111,large,candidate_lower_avg_power_watts,4.0744134210917984e-11,4.664130506757962e-11,1.5114873552531964e-06
starcoder,optimized,r,data_manipulation_preprocessing,01_impute_encode_scale,original,30,30,900.0,3.0198593591621564e-11,1.232241534433333,0.09235858213333334,1.231473673,0.092040134,1234.1927798917586,1237.9746633137238,1.0,1.0,1.0,large,candidate_higher_elapsed_seconds,900.0,2.8881449435837708e-11,21.646,1.375,21.69,1.37,1474.2545454545455,1483.2116788321168,1.0,1.0,1.0,large,candidate_higher_energy_joules,900.0,3.0198593591621564e-11,17.5666580928,14.912474712400002,17.6237216625,14.9225426705,17.79840993254457,18.101332002487027,1.0,1.0,1.0,large,candidate_higher_avg_power_watts,4.0744134210917984e-11,4.664130506757962e-11,1.6043002845548956e-10
starcoder,optimized,r,machine_learning_workflows,01_pipeline_cv_gridsearch_classification,original,30,30,900.0,3.0198593591621564e-11,2.4072641222999995,2.0172275167666665,2.4040363405000003,2.0093385165,19.335280839243516,19.64317215635278,1.0,1.0,1.0,large,candidate_higher_elapsed_seconds,900.0,3.017966798490446e-11,42.77533333333334,36.028,42.865,36.065,18.728026349876053,18.8548454179953,1.0,1.0,1.0,large,candidate_higher_energy_joules,351.0,0.14531912724086538,17.770111672366667,17.861897612766665,17.7317718575,17.9164873055,-0.5138644414487871,-1.0309802633203369,-0.21999999999999997,-0.22,0.22,small,candidate_lower_avg_power_watts,4.0744134210917984e-11,4.664130506757962e-11,0.1960654891345009
