dataset,script_id,script_number,model,prompt_type,language,category,snippet,script_path,ok_runs,failed_runs,total_runs,elapsed_seconds_mean,elapsed_seconds_median,elapsed_seconds_std,elapsed_seconds_min,elapsed_seconds_max,energy_joules_mean,energy_joules_median,energy_joules_std,energy_joules_min,energy_joules_max,avg_power_watts_mean,avg_power_watts_median,avg_power_watts_std,avg_power_watts_min,avg_power_watts_max,idle_adjusted_energy_joules_mean,idle_adjusted_energy_joules_median,idle_adjusted_energy_joules_std,idle_adjusted_energy_joules_min,idle_adjusted_energy_joules_max,idle_adjusted_avg_power_watts_mean,idle_adjusted_avg_power_watts_median,idle_adjusted_avg_power_watts_std,idle_adjusted_avg_power_watts_min,idle_adjusted_avg_power_watts_max
original,script_11,11,original,base,r,data_visualization,01_scatter_trend_grouped,/home/romakrut/PycharmProjects/masters-thesis/task_equivalents/r/data_visualization/01_scatter_trend_grouped.R,30,0,30,0.114333972,0.114423751,0.002686374,0.109903586,0.119610380,1.736000000,1.730000000,0.043279365,1.680000000,1.870000000,15.192705330,15.070589524,0.550089880,14.393746839,16.264187657,1.698632210,1.692443826,0.043383998,1.642359974,1.831660479,14.865875172,14.743759366,0.550089880,14.066916681,15.937357499
original,script_12,12,original,base,r,data_visualization,02_distribution_boxplot,/home/romakrut/PycharmProjects/masters-thesis/task_equivalents/r/data_visualization/02_distribution_boxplot.R,30,0,30,0.117940834,0.118011914,0.003704395,0.112176802,0.131523131,1.809666667,1.800000000,0.050136595,1.750000000,1.930000000,15.360519849,15.203357181,0.689217412,13.305644313,16.670113309,1.771120045,1.762780175,0.050407229,1.707014274,1.890164067,15.033689691,14.876527023,0.689217412,12.978814155,16.343283151
original,script_13,13,original,base,r,machine_learning_workflows,01_pipeline_cv_gridsearch_classification,/home/romakrut/PycharmProjects/masters-thesis/task_equivalents/r/machine_learning_workflows/01_pipeline_cv_gridsearch_classification.R,30,0,30,2.017227517,2.009338517,0.015408510,2.000375048,2.058190635,36.028000000,36.065000000,0.510972028,34.670000000,36.890000000,17.861897613,17.916487305,0.331182694,17.121644999,18.428105778,35.368709212,35.408111863,0.513002158,34.008194339,36.234309261,17.535067455,17.589657147,0.331182694,16.794814841,18.101275620
original,script_14,14,original,base,r,machine_learning_workflows,02_regression_workflow_feature_importance,/home/romakrut/PycharmProjects/masters-thesis/task_equivalents/r/machine_learning_workflows/02_regression_workflow_feature_importance.R,30,0,30,1.487629501,1.488366254,0.013102470,1.469209833,1.508895730,25.463000000,25.430000000,0.302952711,24.730000000,25.920000000,17.117861165,17.141517828,0.259233843,16.581662671,17.512814999,24.976797815,24.943015217,0.303193646,24.245783442,25.435544850,16.791031007,16.814687670,0.259233843,16.254832513,17.185984841
original,script_15,15,original,base,r,statistical_modelling_analysis,01_linear_regression_inference,/home/romakrut/PycharmProjects/masters-thesis/task_equivalents/r/statistical_modelling_analysis/01_linear_regression_inference.R,30,0,30,0.099619299,0.098810268,0.003924616,0.094498606,0.111235654,1.495000000,1.480000000,0.041251959,1.430000000,1.590000000,15.026212550,15.054077849,0.649359773,13.258721603,16.614001692,1.462441409,1.448678419,0.041051863,1.397415455,1.553644834,14.699382392,14.727247691,0.649359773,12.931891445,16.287171534
original,script_16,16,original,base,r,statistical_modelling_analysis,02_logistic_regression_odds_ratios,/home/romakrut/PycharmProjects/masters-thesis/task_equivalents/r/statistical_modelling_analysis/02_logistic_regression_odds_ratios.R,30,0,30,0.105460080,0.105325864,0.002273126,0.101331602,0.112057820,1.598333333,1.580000000,0.068986922,1.510000000,1.870000000,15.162004638,14.962568143,0.714394582,14.238631966,17.390057568,1.563865799,1.545519473,0.068955684,1.475339821,1.834855068,14.835174480,14.635737985,0.714394582,13.911801808,17.063227410
translation,script_1,1,gemini,base,python,data_manipulation_preprocessing,01_impute_encode_scale,/home/romakrut/PycharmProjects/masters-thesis/task_equivalents/llm_translations/gemini/base/python/data_manipulation_preprocessing/01_impute_encode_scale.py,30,0,30,0.172756332,0.172794851,0.001127969,0.171197931,0.176598543,2.827000000,2.825000000,0.041948244,2.750000000,2.920000000,16.364126639,16.337932862,0.221170408,15.978294344,16.861236092,2.770538021,2.768519979,0.041796050,2.694015567,2.863400113,16.037296481,16.011102704,0.221170408,15.651464186,16.534405934
translation,script_2,2,gemini,base,python,data_manipulation_preprocessing,02_merge_aggregate_reshape,/home/romakrut/PycharmProjects/masters-thesis/task_equivalents/llm_translations/gemini/base/python/data_manipulation_preprocessing/02_merge_aggregate_reshape.py,30,0,30,0.173645823,0.173422072,0.000803648,0.172258551,0.176194861,2.835666667,2.825000000,0.052567417,2.750000000,2.980000000,16.330287971,16.272196429,0.299921378,15.857133935,17.195126271,2.778913975,2.768084301,0.052524466,2.693319963,2.923358725,16.003457813,15.945366271,0.299921378,15.530303777,16.868296113
translation,script_3,3,gemini,base,python,data_visualization,01_scatter_trend_grouped,/home/romakrut/PycharmProjects/masters-thesis/task_equivalents/llm_translations/gemini/base/python/data_visualization/01_scatter_trend_grouped.py,30,0,30,0.912085870,0.913036250,0.003770827,0.901418190,0.917444344,15.065000000,15.080000000,0.216902171,14.650000000,15.450000000,16.517176776,16.524076222,0.234674882,16.094019953,17.011915509,14.766902831,14.782274145,0.216671044,14.355389351,15.153177109,16.190346618,16.197246064,0.234674882,15.767189795,16.685085351
translation,script_4,4,gemini,base,python,data_visualization,02_distribution_boxplot,/home/romakrut/PycharmProjects/masters-thesis/task_equivalents/llm_translations/gemini/base/python/data_visualization/02_distribution_boxplot.py,30,0,30,0.482234777,0.482369045,0.002182489,0.478156870,0.485440214,8.051000000,8.035000000,0.088720794,7.890000000,8.260000000,16.695329895,16.689426342,0.181649282,16.331824871,17.034792485,7.893391131,7.876742575,0.088556094,7.732452026,8.101523335,16.368499737,16.362596184,0.181649282,16.004994713,16.707962327
translation,script_5,5,gemini,base,python,machine_learning_workflows,01_pipeline_cv_gridsearch_classification,/home/romakrut/PycharmProjects/masters-thesis/task_equivalents/llm_translations/gemini/base/python/machine_learning_workflows/01_pipeline_cv_gridsearch_classification.py,30,0,30,2.564756028,2.563350341,0.006588169,2.555886988,2.580498695,42.946333333,43.030000000,0.601495168,41.020000000,43.700000000,16.744732327,16.751969588,0.225485835,16.036291809,17.061092387,42.108093715,42.193650918,0.600844472,40.183985462,42.859827982,16.417902169,16.425139430,0.225485835,15.709461651,16.734262229
translation,script_6,6,gemini,base,python,machine_learning_workflows,02_regression_workflow_feature_importance,/home/romakrut/PycharmProjects/masters-thesis/task_equivalents/llm_translations/gemini/base/python/machine_learning_workflows/02_regression_workflow_feature_importance.py,30,0,30,12.270537466,12.256523871,0.043734071,12.213342949,12.358638318,194.409333333,194.545000000,2.142521771,190.960000000,198.390000000,15.843826112,15.870637179,0.187422273,15.492807142,16.216007058,190.398951635,190.549958808,2.143634713,186.967264879,194.391491932,15.516995954,15.543807021,0.187422273,15.165976984,15.889176900
translation,script_7,7,gemini,base,python,statistical_modelling_analysis,01_linear_regression_inference,/home/romakrut/PycharmProjects/masters-thesis/task_equivalents/llm_translations/gemini/base/python/statistical_modelling_analysis/01_linear_regression_inference.py,30,0,30,0.579274225,0.579537572,0.001579414,0.575955602,0.582190741,9.522333333,9.500000000,0.108363479,9.280000000,9.730000000,16.438424480,16.417867508,0.185219358,16.064035010,16.785402284,9.333009047,9.310550282,0.108281347,9.091194145,9.540546248,16.111594322,16.091037350,0.185219358,15.737204852,16.458572126
translation,script_8,8,gemini,base,python,statistical_modelling_analysis,02_logistic_regression_odds_ratios,/home/romakrut/PycharmProjects/masters-thesis/task_equivalents/llm_translations/gemini/base/python/statistical_modelling_analysis/02_logistic_regression_odds_ratios.py,30,0,30,0.730633183,0.730396679,0.002693853,0.725975556,0.734807398,11.973666667,11.945000000,0.148311958,11.770000000,12.300000000,16.388282697,16.360971039,0.211500304,16.031411812,16.747681435,11.734873708,11.706484194,0.148313444,11.530899068,12.059859524,16.061452539,16.034140881,0.211500304,15.704581654,16.420851277
translation,script_9,9,gemini,base,r,data_manipulation_preprocessing,01_impute_encode_scale,/home/romakrut/PycharmProjects/masters-thesis/task_equivalents/llm_translations/gemini/base/r/data_manipulation_preprocessing/01_impute_encode_scale.R,30,0,30,0.080946066,0.080237531,0.002410556,0.079655308,0.089810075,1.351000000,1.345000000,0.031551818,1.300000000,1.430000000,16.697692241,16.710314436,0.423169108,15.637768867,17.526205840,1.324544384,1.318633688,0.031133895,1.273912955,1.400647359,16.370862083,16.383484278,0.423169108,15.310938709,17.199375682
translation,script_10,10,gemini,base,r,data_manipulation_preprocessing,02_merge_aggregate_reshape,/home/romakrut/PycharmProjects/masters-thesis/task_equivalents/llm_translations/gemini/base/r/data_manipulation_preprocessing/02_merge_aggregate_reshape.R,30,0,30,0.080810215,0.080330272,0.001749712,0.079210445,0.089030173,1.359666667,1.360000000,0.029767297,1.310000000,1.420000000,16.830105764,16.753255306,0.414356955,15.837327419,17.822114513,1.333255451,1.333366262,0.029578118,1.283876208,1.393959385,16.503275606,16.426425148,0.414356955,15.510497261,17.495284355
translation,script_11,11,gemini,base,r,data_visualization,01_scatter_trend_grouped,/home/romakrut/PycharmProjects/masters-thesis/task_equivalents/llm_translations/gemini/base/r/data_visualization/01_scatter_trend_grouped.R,30,0,30,0.102898620,0.102895415,0.001574057,0.101188799,0.109907545,1.731333333,1.730000000,0.043607444,1.640000000,1.830000000,16.826201976,16.790311360,0.366256206,16.147870540,17.666118021,1.697702961,1.696247781,0.043346394,1.606806678,1.794078900,16.499371818,16.463481202,0.366256206,15.821040382,17.339287863
translation,script_12,12,gemini,base,r,data_visualization,02_distribution_boxplot,/home/romakrut/PycharmProjects/masters-thesis/task_equivalents/llm_translations/gemini/base/r/data_visualization/02_distribution_boxplot.R,30,0,30,0.104417075,0.104403686,0.000805590,0.103012321,0.105938416,1.730666667,1.715000000,0.042339623,1.670000000,1.830000000,16.574387740,16.456731981,0.376454693,15.998008047,17.390287621,1.696540018,1.680987901,0.042242299,1.635882855,1.795607286,16.247557582,16.129901823,0.376454693,15.671177889,17.063457463
