model,prompt_type,language,category,snippet,matched_original_model,candidate_runs,original_runs,elapsed_seconds_u_stat,elapsed_seconds_p_value,elapsed_seconds_candidate_mean,elapsed_seconds_original_mean,elapsed_seconds_candidate_median,elapsed_seconds_original_median,elapsed_seconds_mean_pct_diff_vs_original,elapsed_seconds_median_pct_diff_vs_original,elapsed_seconds_rank_biserial,elapsed_seconds_cliffs_delta,energy_joules_u_stat,energy_joules_p_value,energy_joules_candidate_mean,energy_joules_original_mean,energy_joules_candidate_median,energy_joules_original_median,energy_joules_mean_pct_diff_vs_original,energy_joules_median_pct_diff_vs_original,energy_joules_rank_biserial,energy_joules_cliffs_delta,avg_power_watts_u_stat,avg_power_watts_p_value,avg_power_watts_candidate_mean,avg_power_watts_original_mean,avg_power_watts_candidate_median,avg_power_watts_original_median,avg_power_watts_mean_pct_diff_vs_original,avg_power_watts_median_pct_diff_vs_original,avg_power_watts_rank_biserial,avg_power_watts_cliffs_delta,elapsed_seconds_p_value_fdr_bh,energy_joules_p_value_fdr_bh,avg_power_watts_p_value_fdr_bh
gemini,base,r,data_visualization,01_scatter_trend_grouped,original,100,100,5355.0,0.3863907133999017,0.10284097161,0.10269568221999999,0.1027623755,0.1025655675,0.1414756558983316,0.19188505928171914,0.07099999999999995,0.071,5183.0,0.6537122597431926,1.8172000000000004,1.8171000000000004,1.82,1.82,0.005503274448296129,0.0,0.036599999999999966,0.0366,4870.0,0.7516846029154188,17.670981116310003,17.693996854159998,17.6998374745,17.679606974000002,-0.1300765340906238,0.11442845154731053,-0.026000000000000023,-0.026,0.3863907133999017,0.6696564612003436,0.7795247733937677
gemini,base,r,data_visualization,02_distribution_boxplot,original,100,100,534.0,1.0217941793878788e-27,0.10413687327,0.10622471941,0.10387291300000001,0.10620911050000001,-1.9654993221883268,-2.199620624823892,-0.8932,-0.8932,1340.0,2.9137038422221685e-19,1.8357999999999999,1.8823999999999996,1.84,1.88,-2.4755631109222143,-2.1276595744680753,-0.732,-0.732,3919.0,0.008288604488654407,17.62931448168,17.721476404980002,17.624729353,17.7602041685,-0.5200578168199459,-0.7627998767057096,-0.21619999999999995,-0.2162,1.3411048604465908e-27,4.2938793464326693e-19,0.01582369947834023
gemini,base,r,machine_learning_workflows,01_pipeline_cv_gridsearch_classification,original,100,100,699.0,7.953220939347e-26,1.82040572881,2.0366635712299996,1.7884255475000002,2.036017486,-10.6182408069191,-12.160599808326,-0.8602,-0.8602,791.5,8.502090747210633e-25,33.3936,37.524300000000004,32.64,37.66,-11.008066772731281,-13.32979288369622,-0.8417,-0.8417,4141.0,0.03593613137762092,18.34491624764,18.424309295260002,18.3613476015,18.469340158,-0.43091464840110516,-0.5847125862437703,-0.17179999999999995,-0.1718,9.971202371718626e-26,1.2985011323012602e-24,0.0565550114371864
gemini,base,r,machine_learning_workflows,02_regression_workflow_feature_importance,original,100,100,10000.0,2.562143669163401e-34,2.8093741902800002,1.4948869074799995,2.8090279565,1.493991659,87.93222257969288,88.02166260956348,1.0,1.0,10000.0,2.5483246999779156e-34,49.52620000000001,26.848999999999997,49.83,27.015,84.46199113561033,84.45308162132147,1.0,1.0,1866.0,1.9127843221431713e-14,17.62891330616,17.96060683162,17.7302152515,18.071031513999998,-1.8467835111007909,-1.8859812304348067,-0.6268,-0.6268,3.7106908312021666e-34,4.212401134716591e-34,1.0711592204001759e-13
gemini,base,r,statistical_modelling_analysis,01_linear_regression_inference,original,100,100,2617.0,5.836578994370182e-09,0.08798417147999997,0.08819329232,0.0879104515,0.0881465845,-0.23711649094725046,-0.26788672679654363,-0.4766,-0.4766,5080.5,0.8431322419197398,1.4967000000000001,1.4958999999999998,1.49,1.49,0.05347951066250124,0.0,0.016100000000000003,0.0161,5656.0,0.1092349269435093,17.01075537162,16.961494678340003,16.969524595000003,16.9296253355,0.2904266057572371,0.23567715592818492,0.13119999999999998,0.1312,6.905248387705568e-09,0.8532904617019054,0.15042186661073412
gemini,base,r,statistical_modelling_analysis,02_logistic_regression_odds_ratios,original,100,100,0.0,2.562143669163401e-34,0.09035470751000002,0.09468793219000002,0.0903581765,0.0946336425,-4.576322008283997,-4.517913383710244,-1.0,-1.0,285.0,7.707983591728671e-31,1.5364999999999998,1.6071999999999997,1.54,1.61,-4.398954703832753,-4.347826086956525,-0.943,-0.943,5457.0,0.26467603966129893,17.00512040331,16.973414255039998,17.0288740935,16.978084412,0.18679888320398383,0.29914848028498253,0.09139999999999993,0.0914,3.7106908312021666e-34,1.19901966982446e-30,0.331832646739539
gemini,optimized,python,data_manipulation_preprocessing,01_impute_encode_scale,original,100,100,0.0,2.562143669163401e-34,0.17352216463,0.5894189147000001,0.1735474685,0.5893560455,-70.56046891228142,-70.55303499045891,-1.0,-1.0,0.0,2.4217045138618122e-34,2.9095,10.170699999999998,2.91,10.175,-71.3933160942708,-71.4004914004914,-1.0,-1.0,1165.0,7.310188406762144e-21,16.76721512256,17.255593039580003,16.756955441000002,17.258306679,-2.8302586639577463,-2.904985102681278,-0.767,-0.767,3.7106908312021666e-34,4.212401134716591e-34,5.582325692436547e-20
gemini,optimized,python,data_manipulation_preprocessing,02_merge_aggregate_reshape,original,100,100,5659.0,0.10762255564298849,0.6223581620699999,0.62213543004,0.6225373155,0.6220164105,0.03580121292651251,0.08374457509590351,0.13179999999999992,0.1318,4134.0,0.03441117177648628,10.5798,10.6337,10.594999999999999,10.675,-0.5068790731353973,-0.7494145199063404,-0.17320000000000002,-0.1732,4098.0,0.02761483659528761,16.99971889576,17.092193965179998,17.0202385075,17.1788325745,-0.5410368593311439,-0.9231946717695699,-0.1804,-0.1804,0.10891921293989197,0.039596416838696545,0.04548326027459136
gemini,optimized,python,data_visualization,01_scatter_trend_grouped,original,100,100,0.0,2.562143669163401e-34,0.37388226017000004,0.91626322943,0.373831552,0.9161050690000001,-59.19488546947485,-59.1933758855776,-1.0,-1.0,0.0,2.5201938589384714e-34,6.4089,15.788199999999994,6.43,15.815000000000001,-59.40702550005699,-59.342396459057866,-1.0,-1.0,4144.0,0.036589136309598036,17.141330185029997,17.23101931908,17.211425714500002,17.268708637499998,-0.5205097411195606,-0.33171515139008256,-0.17120000000000002,-0.1712,3.7106908312021666e-34,4.212401134716591e-34,0.0565550114371864
gemini,optimized,python,data_visualization,02_distribution_boxplot,original,100,100,0.0,2.562143669163401e-34,0.48593419042999997,0.8523923748800002,0.4857465585,0.852438289,-42.99172484990732,-43.01680663947745,-1.0,-1.0,0.0,2.5285869676552807e-34,8.384899999999998,14.7073,8.42,14.745000000000001,-42.988175939839415,-42.89589691420821,-1.0,-1.0,5051.0,0.9017973736659324,17.255134131690003,17.25405683026,17.2997717825,17.287886083,0.006243757283284458,0.06875160700929485,0.010199999999999987,0.0102,3.7106908312021666e-34,4.212401134716591e-34,0.9017973736659324
